arm,seed,n_features,n_train,n_test,auroc,auprc,t50_threshold,t50_accuracy,t50_precision,t50_recall,t50_f1,t50_fpr,t50_tn,t50_fp,t50_fn,t50_tp,tfpr_threshold,tfpr_accuracy,tfpr_precision,tfpr_recall,tfpr_f1,tfpr_fpr,tfpr_tn,tfpr_fp,tfpr_fn,tfpr_tp
full_16,42,16,66015,18338,0.954867316753126,0.954770340665849,0.5,0.8881557421747192,0.8838438308886971,0.8937724942741847,0.8887804349004935,0.11746100992474642,8092,1077,974,8195,0.7432723522186275,0.8680881230232305,0.9329143150333504,0.7932162722216163,0.857412319481285,0.05704002617515541,8646,523,1896,7273
drop_perplexity,42,10,66015,18338,0.9268570005141277,0.9215012192983267,0.5,0.850583487839459,0.8391180504272603,0.867488275711637,0.853067353067353,0.16632130003271894,7644,1525,1215,7954,0.8235357075929638,0.7936525248118661,0.9254226576078369,0.6387828552732032,0.7558394631565363,0.05147780564947104,8697,472,3312,5857
only_perplexity,42,6,66015,18338,0.7694459954894318,0.790150896651995,0.5,0.6922237975787982,0.7155963302752294,0.6380194132402661,0.6745848708487084,0.2535718180826699,6844,2325,3319,5850,0.7411416053771965,0.6529610644563202,0.8755020080321285,0.3566364925291744,0.5068195908245505,0.050714363616533975,8704,465,5899,3270
drop_stylometric,42,10,66015,18338,0.8126333426037207,0.8312194357320606,0.5,0.7266332206347476,0.7596850787303174,0.6629948740320646,0.708054277561004,0.20972843276256953,7246,1923,3090,6079,0.719845962524414,0.6895517504635184,0.8870824053452115,0.4343985167411932,0.583205212680284,0.0552950158141564,8662,507,5186,3983
only_stylometric,42,6,66015,18338,0.9070990260193458,0.894588705365811,0.5,0.8298069582288145,0.8136929460580913,0.8554913294797688,0.8340687968525706,0.19587741302213982,7373,1796,1325,7844,0.8324649482965463,0.7468644345075799,0.910575004534736,0.547497000763442,0.6838305407982563,0.05376813174828225,8676,493,4149,5020
drop_distribution,42,12,66015,18338,0.9470916579229203,0.9464177656087185,0.5,0.8751226960410078,0.8696399785061795,0.8825389900752536,0.8760420049799719,0.1322935979932381,7956,1213,1077,8092,0.7660359144210814,0.8498200458065219,0.9315215928965425,0.7551532337223252,0.8341163715215034,0.05551314210928127,8660,509,2245,6924
only_distribution,42,4,66015,18338,0.6656315282587444,0.6808427554653607,0.5,0.6150616206783728,0.6401434643995749,0.5255753081033918,0.577229442414805,0.2954520667466463,6460,2709,4350,4819,0.7447782307863232,0.5807612607699858,0.8115271350441733,0.21038281164794417,0.33414169409319244,0.048860290107972514,8721,448,7240,1929
full_16,43,16,66015,18338,0.9564108534972189,0.956040537358561,0.5,0.8880466790271567,0.8844823859952453,0.8926818627985603,0.888563209032188,0.11658850474424692,8100,1069,984,8185,0.777994409203529,0.8603991711200786,0.9414829659318638,0.7685680008725052,0.846283175213162,0.04776965863234813,8731,438,2122,7047
drop_perplexity,43,10,66015,18338,0.928181691329501,0.9208497060775551,0.5,0.8523830297742393,0.8437965524579698,0.8648707601701385,0.8542036947272041,0.16010470062165993,7701,1468,1239,7930,0.8246092766523355,0.7886356200239939,0.9277517375141425,0.6260224670083978,0.7475905183641574,0.04875122696041008,8722,447,3429,5740
only_perplexity,43,6,66015,18338,0.7751828907148604,0.7950327278475209,0.5,0.7020940124331988,0.7256453969800293,0.6499072963245719,0.6856912720787066,0.2457192714581743,6916,2253,3210,5959,0.7420512557029724,0.6557421747191624,0.871875,0.3651434180390446,0.5147205780613422,0.05365906860071982,8677,492,5821,3348
drop_stylometric,43,10,66015,18338,0.8133342597773314,0.8338157891913144,0.5,0.7295233940451521,0.7582525463247024,0.6739011887883084,0.71359279362513,0.21485440069800416,7199,1970,2990,6179,0.7334046155214307,0.6891700294470499,0.9012260004626417,0.42491002290326096,0.5775274236584643,0.0465699640091613,8742,427,5273,3896
only_stylometric,43,6,66015,18338,0.9096550455991367,0.8972692960994297,0.5,0.8320972843276256,0.8189149560117303,0.8527647507907078,0.8354971416359459,0.18857018213545643,7440,1729,1350,7819,0.835466334223747,0.747137092376486,0.9196296296296296,0.5416075907950704,0.6817214633811518,0.047333406042098375,8735,434,4203,4966
drop_distribution,43,12,66015,18338,0.9494282725197944,0.948732388155702,0.5,0.8785036536154434,0.8750675456608668,0.8830843058130657,0.8790576484637933,0.12607699858217908,8013,1156,1072,8097,0.8010407239198685,0.8405496782637147,0.9400986610288936,0.7274511942414658,0.8202164289227742,0.04635183771403643,8744,425,2499,6670
only_distribution,43,4,66015,18338,0.6660735498125199,0.6837644605889341,0.5,0.613861926055186,0.6341557440246723,0.5382266332206348,0.5822665329479086,0.31050278111026286,6322,2847,4234,4935,0.7241161525249477,0.5874141127712946,0.8156754627806223,0.22586977860181046,0.35377519644687394,0.05104155305922129,8701,468,7098,2071
full_16,44,16,66015,18338,0.9514784253669962,0.9515302458000614,0.5,0.8835750899770968,0.8785791173304629,0.8901734104046243,0.8843382631778536,0.1230232304504308,8041,1128,1007,8162,0.809824094176292,0.8464936198058676,0.9419866444073456,0.7384665721452721,0.8279024270954332,0.04547933253353692,8752,417,2398,6771
drop_perplexity,44,10,66015,18338,0.9235156644190825,0.916201082241838,0.5,0.8485112880357727,0.8386139663028505,0.8631257498091395,0.8506933247339568,0.16610317373759406,7646,1523,1255,7914,0.8235940098762512,0.790380630384993,0.9228203906622201,0.633765950485331,0.751454804086383,0.053004689715345187,8683,486,3358,5811
only_perplexity,44,6,66015,18338,0.7686577885450294,0.789190147235586,0.5,0.695168502562984,0.719435928877989,0.6398734867488276,0.6773262525975525,0.24953648162285963,6881,2288,3302,5867,0.7579189032316207,0.6472352492092922,0.8802816901408451,0.3408223361326208,0.4913908326126268,0.04635183771403643,8744,425,6044,3125
drop_stylometric,44,10,66015,18338,0.8071725487831585,0.8284527356300612,0.5,0.7234158577816556,0.7526205450733753,0.6656123895735631,0.7064475054983216,0.21878067401025195,7163,2006,3066,6103,0.7359002619981766,0.6855709455774893,0.8946880074228717,0.42065656014832586,0.5722551928783383,0.049514668993347145,8715,454,5312,3857
only_stylometric,44,6,66015,18338,0.9033494257282284,0.890486905235794,0.5,0.826698658523285,0.8119337706966573,0.8503653615443342,0.8307053057745578,0.1969680444977642,7363,1806,1372,7797,0.8386752188205718,0.7387392300141782,0.912241054613936,0.5283018867924528,0.6691069825264175,0.05082342676409641,8703,466,4325,4844
drop_distribution,44,12,66015,18338,0.9452212469475493,0.9452562667274296,0.5,0.8737594066964772,0.8688912809472551,0.8803577271240048,0.8745869223684923,0.13283891373105028,7951,1218,1097,8072,0.8031666904687879,0.8371687206892791,0.934260429835651,0.7253789944377794,0.8166748526522594,0.05104155305922129,8701,468,2518,6651
only_distribution,44,4,66015,18338,0.6650312229985,0.6841302646167081,0.5,0.6121169156941869,0.6342737722048067,0.5296106445632021,0.5772362555720654,0.30537681317482823,6369,2800,4313,4856,0.7203271239995956,0.5903588177554804,0.8202551217626595,0.23143199912749482,0.36100714528751277,0.050714363616533975,8704,465,7047,2122
full_16,45,16,66015,18338,0.954105539988011,0.9541845496609477,0.5,0.8841749372886901,0.8801942795466811,0.8894099683716872,0.8847781273733318,0.1210600937943069,8059,1110,1014,8155,0.785819613933563,0.8578361871523612,0.941231845077999,0.7633329697895082,0.8429990966576333,0.04766059548478569,8732,437,2170,6999
drop_perplexity,45,10,66015,18338,0.9250595758484352,0.9172069140152135,0.5,0.8485112880357727,0.8368293454200485,0.8658523284982005,0.8510934819897084,0.16882975242665504,7621,1548,1230,7939,0.8226780772209166,0.7922892354673355,0.9231133564887907,0.6376922237975788,0.7543056182674321,0.05311375286290762,8682,487,3322,5847
only_perplexity,45,6,66015,18338,0.7727391280284188,0.7923381609272813,0.5,0.6968589813502017,0.7202831340004882,0.6436906969135129,0.679836433796003,0.2499727342131094,6877,2292,3267,5902,0.7344403564929962,0.6571599956374741,0.8698665297741273,0.3696150070891046,0.5187906620742442,0.0552950158141564,8662,507,5780,3389
drop_stylometric,45,10,66015,18338,0.8113523888582116,0.8315786641037717,0.5,0.7293597993238085,0.7613071570576541,0.6682299051150616,0.7117383980949062,0.20951030646744465,7248,1921,3042,6127,0.731334090232849,0.6884065874141128,0.8950377315344157,0.4268731595593849,0.5780534632993649,0.05005998473115934,8710,459,5255,3914
only_stylometric,45,6,66015,18338,0.9053560556114286,0.8916522978004444,0.5,0.8305158686879703,0.8162370865073568,0.8530919402333952,0.8342576791808873,0.19206020285745445,7408,1761,1347,7822,0.8300781249999998,0.7491547606063911,0.9115474689245181,0.5518595266659396,0.6875,0.05355000545315738,8678,491,4109,5060
drop_distribution,45,12,66015,18338,0.9472929769078143,0.9469274018959467,0.5,0.873704875122696,0.8696731038947028,0.8791580325008179,0.8743898470549951,0.1317482822554259,7961,1208,1108,8061,0.7914380788803098,0.841858436034464,0.933241188666206,0.7363943723415858,0.8232138502804194,0.05267750027265787,8686,483,2417,6752
only_distribution,45,4,66015,18338,0.6641507423746109,0.6811834198785296,0.5,0.6121714472679681,0.6385558399568907,0.5169593194459592,0.5713596914175506,0.2926164249100229,6486,2683,4429,4740,0.7295828104019163,0.5838150289017341,0.8145722472370037,0.21703566364925292,0.3427488804684809,0.04940560584578471,8716,453,7179,1990
full_16,46,16,66015,18338,0.9527523017242623,0.9532950991435043,0.5,0.883138837386847,0.8796196239464016,0.8877740211582507,0.8836780111816751,0.12149634638455666,8055,1114,1029,8140,0.7714999556541443,0.859035881775548,0.9385824673594457,0.7683498745773804,0.8449775112443778,0.05027811102628422,8708,461,2124,7045
