threshold,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp,seed
0.05,0.7524266550332642,0.6709253378627871,0.9908386956047551,0.8000880669308674,0.4859853855382266,4713,4456,84,9085,42
0.1,0.8073399498309521,0.7282150955620343,0.9806958228814484,0.8358042478040619,0.3660159232195441,5813,3356,177,8992,42
0.15,0.8355873050496238,0.7638031550068587,0.971643581633766,0.855277684442951,0.30046897153451846,6414,2755,260,8909,42
0.2,0.8543461664303632,0.7914424111948332,0.9622641509433962,0.8685337402175518,0.2535718180826699,6844,2325,346,8823,42
0.25,0.8660159232195441,0.8124185440327686,0.9517940887774021,0.8766008738888051,0.21976224233831387,7154,2015,442,8727,42
0.3,0.8736503435489148,0.8284125766871165,0.9425237212345948,0.8817917453191164,0.1952230341367652,7379,1790,527,8642,42
0.35,0.8803577271240048,0.8449896132159462,0.931617406478351,0.886191513642494,0.17090195223034138,7602,1567,627,8542,42
0.4,0.8848293161740648,0.8596473346244011,0.9198385865416076,0.8887249736564805,0.15017995419347802,7792,1377,735,8434,42
0.45,0.886138073944814,0.8715500052471403,0.905769440506053,0.8883303027061717,0.1334932926164249,7945,1224,864,8305,42
0.5,0.8881557421747192,0.8838438308886971,0.8937724942741847,0.8887804349004935,0.11746100992474642,8092,1077,974,8195,42
0.55,0.8881012106009379,0.8945559374653509,0.879921474533755,0.8871783593578183,0.10371905333187915,8218,951,1101,8068,42
0.6,0.8854291634856581,0.9033325724720384,0.8632348129567019,0.8828286208242708,0.09237648598538553,8322,847,1254,7915,42
0.65,0.8822663322063474,0.9141068052930057,0.8438215726905879,0.8775591221006068,0.0792889082778929,8442,727,1432,7737,42
0.7,0.8768677064020067,0.9247695144437615,0.8204820591122259,0.8695099398982894,0.06674664630821245,8557,612,1646,7523,42
0.75,0.8666157705311375,0.9335741003482523,0.789399062056931,0.8554544380096916,0.056167520994655905,8654,515,1931,7238,42
0.8,0.8534191296760825,0.9427517420412624,0.7525357181808267,0.8369723435225619,0.045697458828661795,8750,419,2269,6900,42
0.85,0.8344966735739994,0.9554499554499555,0.7017122914167303,0.8091555052505817,0.03271894426873159,8869,300,2735,6434,42
