,accuracy,accuracy,precision,precision,recall,recall,f1,f1,fpr,fpr
,mean,std,mean,std,mean,std,mean,std,mean,std
threshold,,,,,,,,,,
0.05,0.7493,0.003,0.6682,0.0026,0.9907,0.0007,0.7981,0.002,0.492,0.0056
0.1,0.8061,0.0036,0.7269,0.0035,0.9807,0.0013,0.835,0.0027,0.3685,0.006
0.15,0.8349,0.0036,0.7631,0.0038,0.9714,0.0013,0.8547,0.0029,0.3016,0.006
0.2,0.8533,0.0038,0.7899,0.0042,0.9627,0.0018,0.8678,0.0032,0.2561,0.0061
0.25,0.8651,0.0036,0.811,0.0041,0.9521,0.0018,0.8759,0.003,0.2219,0.0056
0.3,0.8726,0.0032,0.8273,0.0035,0.9418,0.0025,0.8808,0.0029,0.1966,0.0044
0.35,0.8784,0.0028,0.843,0.0031,0.93,0.0019,0.8844,0.0025,0.1731,0.0037
0.4,0.8825,0.0027,0.8572,0.003,0.9179,0.0026,0.8865,0.0026,0.1529,0.0035
0.45,0.8843,0.0025,0.8691,0.0028,0.9049,0.0026,0.8866,0.0025,0.1363,0.0031
0.5,0.8854,0.0025,0.8813,0.0026,0.8908,0.0024,0.886,0.0024,0.1199,0.0028
0.55,0.8849,0.0023,0.892,0.0026,0.8758,0.0031,0.8838,0.0024,0.106,0.0028
0.6,0.883,0.002,0.9026,0.0022,0.8586,0.0033,0.88,0.0022,0.0927,0.0023
0.65,0.8794,0.002,0.913,0.002,0.8387,0.0035,0.8743,0.0022,0.0799,0.002
0.7,0.8741,0.0019,0.9235,0.0019,0.8157,0.0035,0.8663,0.0022,0.0675,0.0018
0.75,0.8651,0.0015,0.9331,0.0014,0.7867,0.0024,0.8537,0.0017,0.0564,0.0012
0.8,0.8523,0.0022,0.9435,0.002,0.7494,0.0041,0.8353,0.0028,0.0449,0.0017
0.85,0.8317,0.0025,0.9538,0.0026,0.6972,0.0042,0.8055,0.0033,0.0338,0.0019
0.9,0.7972,0.0019,0.9666,0.0025,0.6157,0.0027,0.7522,0.0026,0.0213,0.0016
0.95,0.7291,0.0013,0.9813,0.0024,0.4671,0.0033,0.6329,0.0028,0.0089,0.0012
