arm,seed,n_features,n_train,n_test,auroc,auprc,t50_threshold,t50_accuracy,t50_precision,t50_recall,t50_f1,t50_fpr,t50_tn,t50_fp,t50_fn,t50_tp,tfpr_threshold,tfpr_accuracy,tfpr_precision,tfpr_recall,tfpr_f1,tfpr_fpr,tfpr_tn,tfpr_fp,tfpr_fn,tfpr_tp
full_16,42,16,5328,1480,0.9394211102994887,0.9365804767482195,0.5,0.8675675675675676,0.8705722070844687,0.8635135135135135,0.8670284938941656,0.12837837837837837,645,95,101,639,0.8046781122684479,0.8277027027027027,0.9307282415630551,0.7081081081081081,0.8042977743668457,0.052702702702702706,701,39,216,524
drop_perplexity,42,10,5328,1480,0.9001497443389335,0.8892486623923208,0.5,0.8243243243243243,0.8260869565217391,0.8216216216216217,0.8238482384823849,0.17297297297297298,612,128,132,608,0.8771775364875793,0.7331081081081081,0.921760391198044,0.5094594594594595,0.6562228024369017,0.043243243243243246,708,32,363,377
only_perplexity,42,6,5328,1480,0.7374780861943024,0.7512910324226794,0.5,0.6783783783783783,0.6918604651162791,0.6432432432432432,0.6666666666666666,0.2864864864864865,528,212,264,476,0.8443315178155899,0.6135135135135135,0.8559322033898306,0.27297297297297296,0.4139344262295082,0.04594594594594595,706,34,538,202
drop_stylometric,42,10,5328,1480,0.7706756756756756,0.799388463795056,0.5,0.6986486486486486,0.7254601226993865,0.6391891891891892,0.6795977011494253,0.2418918918918919,561,179,267,473,0.8424659818410873,0.6506756756756756,0.896797153024911,0.34054054054054056,0.49363369245837413,0.03918918918918919,711,29,488,252
only_stylometric,42,6,5328,1480,0.889972607742878,0.8716708747917268,0.5,0.8108108108108109,0.8034300791556728,0.822972972972973,0.8130841121495327,0.20135135135135135,591,149,131,609,0.8898482322692871,0.675,0.9034267912772586,0.3918918918918919,0.5466540999057493,0.041891891891891894,709,31,450,290
drop_distribution,42,12,5328,1480,0.9352154857560263,0.9299781862128155,0.5,0.8695945945945946,0.8681022880215343,0.8716216216216216,0.8698583951449764,0.13243243243243244,642,98,95,645,0.8856480270624161,0.7844594594594595,0.9469214437367304,0.6027027027027027,0.7365813377374071,0.033783783783783786,715,25,294,446
only_distribution,42,4,5328,1480,0.622518261504748,0.6461128285084362,0.5,0.5912162162162162,0.6015037593984962,0.5405405405405406,0.5693950177935944,0.3581081081081081,475,265,340,400,0.765051394701004,0.5682432432432433,0.7616580310880829,0.19864864864864865,0.31511254019292606,0.062162162162162166,694,46,593,147
full_16,43,16,5328,1480,0.9406738495252007,0.9401372058027683,0.5,0.8655405405405405,0.8670284938941656,0.8635135135135135,0.8652674339878131,0.13243243243243244,642,98,101,639,0.7552114576101303,0.8472972972972973,0.921311475409836,0.7594594594594595,0.8325925925925926,0.06486486486486487,692,48,178,562
drop_perplexity,43,10,5328,1480,0.899382761139518,0.8869335536749261,0.5,0.8236486486486486,0.8147174770039421,0.8378378378378378,0.8261159227181879,0.19054054054054054,599,141,120,620,0.8206467181444168,0.772972972972973,0.8884615384615384,0.6243243243243243,0.7333333333333333,0.07837837837837838,682,58,278,462
only_perplexity,43,6,5328,1480,0.7603670562454347,0.7786161409047416,0.5,0.7006756756756757,0.728110599078341,0.6405405405405405,0.6815240833932422,0.2391891891891892,563,177,266,474,0.7894359230995178,0.6459459459459459,0.8913043478260869,0.3324324324324324,0.484251968503937,0.04054054054054054,710,30,494,246
drop_stylometric,43,10,5328,1480,0.7966983199415633,0.8246388683836408,0.5,0.7236486486486486,0.7503782148260212,0.6702702702702703,0.7080656673804425,0.22297297297297297,575,165,244,496,0.7550855726003647,0.6851351351351351,0.8959537572254336,0.4189189189189189,0.570902394106814,0.04864864864864865,704,36,430,310
only_stylometric,43,6,5328,1480,0.8820708546384222,0.8607776893997834,0.5,0.7993243243243243,0.7872892347600519,0.8202702702702702,0.8034414295168762,0.22162162162162163,576,164,133,607,0.8619160950183868,0.7121621621621622,0.8925,0.48243243243243245,0.6263157894736842,0.05810810810810811,697,43,383,357
drop_distribution,43,12,5328,1480,0.9338367421475529,0.9339081727942796,0.5,0.8506756756756757,0.8530612244897959,0.8472972972972973,0.8501694915254238,0.14594594594594595,632,108,113,627,0.7646359652280807,0.8263513513513514,0.9114139693356048,0.722972972972973,0.8063300678221552,0.07027027027027027,688,52,205,535
only_distribution,43,4,5328,1480,0.6770215485756027,0.7043072653089079,0.5,0.6331081081081081,0.6536661466458659,0.5662162162162162,0.6068066618392469,0.3,518,222,321,419,0.7435306906700134,0.5993243243243244,0.8387096774193549,0.24594594594594596,0.38035527690700105,0.0472972972972973,705,35,558,182
full_16,44,16,5328,1480,0.9389755295836377,0.9364301008053176,0.5,0.8668918918918919,0.8615179760319573,0.8743243243243243,0.8678739101274312,0.14054054054054055,636,104,93,647,0.7735176682472229,0.8445945945945946,0.9153094462540716,0.7594594594594595,0.8301329394387001,0.07027027027027027,688,52,178,562
drop_perplexity,44,10,5328,1480,0.9099251278305334,0.9018329339519429,0.5,0.8364864864864865,0.8259162303664922,0.8527027027027027,0.839095744680851,0.17972972972972973,607,133,109,631,0.887702688574791,0.7418918918918919,0.9408866995073891,0.5162162162162162,0.6666666666666666,0.032432432432432434,716,24,358,382
only_perplexity,44,6,5328,1480,0.7391764061358657,0.757447890550758,0.5,0.6756756756756757,0.696969696969697,0.6216216216216216,0.6571428571428571,0.2702702702702703,540,200,280,460,0.8421665579080582,0.6128378378378379,0.8812785388127854,0.2608108108108108,0.40250260688216893,0.03513513513513514,714,26,547,193
drop_stylometric,44,10,5328,1480,0.776245434623813,0.7988364479741705,0.5,0.7013513513513514,0.72782874617737,0.6432432432432432,0.6829268292682927,0.24054054054054055,562,178,264,476,0.776787742972374,0.6587837837837838,0.8637770897832817,0.377027027027027,0.5249294449670743,0.05945945945945946,696,44,461,279
only_stylometric,44,6,5328,1480,0.8944448502556611,0.8770416148198634,0.5,0.8236486486486486,0.8066581306017926,0.8513513513513513,0.8284023668639053,0.20405405405405405,589,151,110,630,0.8880302160978317,0.7,0.9111111111111111,0.44324324324324327,0.5963636363636363,0.043243243243243246,708,32,412,328
drop_distribution,44,12,5328,1480,0.9342695398100804,0.9297074231888952,0.5,0.8662162162162163,0.8584656084656085,0.8770270270270271,0.8676470588235294,0.1445945945945946,633,107,91,649,0.8231335133314133,0.8128378378378378,0.9216757741347905,0.6837837837837838,0.7851047323506595,0.05810810810810811,697,43,234,506
only_distribution,44,4,5328,1480,0.6433153761869979,0.6582257745422391,0.5,0.595945945945946,0.6075757575757575,0.5418918918918919,0.5728571428571428,0.35,481,259,339,401,0.7424454391002655,0.5763513513513514,0.7627906976744186,0.22162162162162163,0.34345549738219894,0.06891891891891892,689,51,576,164
full_16,45,16,5328,1480,0.940418188458729,0.9382905878406901,0.5,0.8689189189189189,0.885593220338983,0.8472972972972973,0.8660220994475138,0.10945945945945947,659,81,113,627,0.7954855114221573,0.8378378378378378,0.9401408450704225,0.7216216216216216,0.8165137614678899,0.04594594594594595,706,34,206,534
drop_perplexity,45,10,5328,1480,0.9048210372534697,0.8972474157539674,0.5,0.8216216216216217,0.8233695652173914,0.8189189189189189,0.8211382113821138,0.17567567567567569,610,130,134,606,0.8893842995166779,0.7256756756756757,0.9195979899497487,0.4945945945945946,0.6432337434094904,0.043243243243243246,708,32,374,366
only_perplexity,45,6,5328,1480,0.7409879474068664,0.7674972357852563,0.5,0.6851351351351351,0.7216828478964401,0.6027027027027027,0.6568483063328424,0.23243243243243245,568,172,294,446,0.8131413608789444,0.6351351351351351,0.8816793893129771,0.31216216216216214,0.46107784431137727,0.041891891891891894,709,31,509,231
drop_stylometric,45,10,5328,1480,0.7835518626734843,0.8086637491622832,0.5,0.7074324324324325,0.7495934959349594,0.6229729729729729,0.6804428044280443,0.20810810810810812,586,154,279,461,0.7953071892261505,0.6641891891891892,0.8957654723127035,0.3716216216216216,0.5253104106972302,0.043243243243243246,708,32,465,275
only_stylometric,45,6,5328,1480,0.890073046018992,0.8775364199567927,0.5,0.8074324324324325,0.8061911170928667,0.8094594594594594,0.8078219824679703,0.1945945945945946,596,144,141,599,0.8659316599369049,0.7162162162162162,0.9040404040404041,0.4837837837837838,0.6302816901408451,0.051351351351351354,702,38,382,358
drop_distribution,45,12,5328,1480,0.9367859751643536,0.935184823516399,0.5,0.8662162162162163,0.8806179775280899,0.8472972972972973,0.8636363636363636,0.11486486486486487,655,85,113,627,0.814794510602951,0.8182432432432433,0.9337016574585635,0.6851351351351351,0.7903351519875292,0.04864864864864865,704,36,233,507
only_distribution,45,4,5328,1480,0.6534550766983199,0.6765278319939655,0.5,0.6013513513513513,0.6065340909090909,0.577027027027027,0.5914127423822715,0.37432432432432433,463,277,313,427,0.7252564281225204,0.5932432432432433,0.7875,0.2554054054054054,0.38571428571428573,0.06891891891891892,689,51,551,189
full_16,46,16,5328,1480,0.9477191380569759,0.9468551908722659,0.5,0.8777027027027027,0.8682476943346509,0.8905405405405405,0.8792528352234823,0.13513513513513514,640,100,81,659,0.8128852844238281,0.8621621621621621,0.9364820846905537,0.777027027027027,0.8493353028064993,0.052702702702702706,701,39,165,575
drop_perplexity,46,10,5328,1480,0.91577246165084,0.9012047964670098,0.5,0.8472972972972973,0.82125,0.8878378378378379,0.8532467532467533,0.19324324324324324,597,143,83,657,0.8568374365568161,0.7797297297297298,0.9090909090909091,0.6216216216216216,0.7383627608346709,0.062162162162162166,694,46,280,460
only_perplexity,46,6,5328,1480,0.7647662527392257,0.777084227656125,0.5,0.6993243243243243,0.7165932452276065,0.6594594594594595,0.6868402533427164,0.2608108108108108,547,193,252,488,0.8262431621551514,0.6385135135135135,0.8621908127208481,0.32972972972972975,0.47702834799608995,0.052702702702702706,701,39,496,244
drop_stylometric,46,10,5328,1480,0.8068535427319211,0.82191531165107,0.5,0.731081081081081,0.7559880239520959,0.6824324324324325,0.7173295454545454,0.22027027027027027,577,163,235,505,0.8283218592405319,0.672972972972973,0.8975155279503105,0.39054054054054055,0.544256120527307,0.0445945945945946,707,33,451,289
only_stylometric,46,6,5328,1480,0.9034021183345509,0.8892050104864457,0.5,0.8324324324324325,0.8044554455445545,0.8783783783783784,0.8397932816537468,0.21351351351351353,582,158,90,650,0.8756371140480042,0.7378378378378379,0.9131455399061033,0.5256756756756756,0.6672384219554031,0.05,703,37,351,389
drop_distribution,46,12,5328,1480,0.9412947406866325,0.9430028754806142,0.5,0.8722972972972973,0.8601307189542484,0.8891891891891892,0.8744186046511628,0.1445945945945946,633,107,82,658,0.8371503204107285,0.8364864864864865,0.923469387755102,0.7337837837837838,0.8177710843373494,0.060810810810810814,695,45,197,543
only_distribution,46,4,5328,1480,0.6636102994886779,0.6664192054945954,0.5,0.6175675675675676,0.6235795454545454,0.5932432432432433,0.6080332409972299,0.3581081081081081,475,265,301,439,0.8320847004652023,0.5540540540540541,0.8076923076923077,0.14189189189189189,0.2413793103448276,0.033783783783783786,715,25,635,105
