threshold,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp,seed
0.05,0.7743243243243243,0.6944444444444444,0.9797297297297297,0.8127802690582959,0.43108108108108106,421,319,15,725,42
0.1,0.8182432432432433,0.7445482866043613,0.9689189189189189,0.8420434527304757,0.3324324324324324,494,246,23,717,42
0.15,0.8358108108108108,0.7721796276013143,0.9527027027027027,0.852994555353902,0.2810810810810811,532,208,35,705,42
0.2,0.8432432432432433,0.786036036036036,0.9432432432432433,0.8574938574938575,0.25675675675675674,550,190,42,698,42
0.25,0.8554054054054054,0.8072429906542056,0.9337837837837838,0.8659147869674185,0.22297297297297297,575,165,49,691,42
0.3,0.8614864864864865,0.8226779252110977,0.9216216216216216,0.8693435309114086,0.19864864864864865,593,147,58,682,42
0.35,0.8641891891891892,0.8347826086956521,0.9081081081081082,0.8699029126213592,0.17972972972972973,607,133,68,672,42
0.4,0.8695945945945946,0.851994851994852,0.8945945945945946,0.8727752142386289,0.1554054054054054,625,115,78,662,42
0.45,0.8695945945945946,0.8603425559947299,0.8824324324324324,0.8712474983322215,0.14324324324324325,634,106,87,653,42
0.5,0.8675675675675676,0.8705722070844687,0.8635135135135135,0.8670284938941656,0.12837837837837837,645,95,101,639,42
0.55,0.8716216216216216,0.8884180790960452,0.85,0.8687845303867403,0.10675675675675676,661,79,111,629,42
0.6,0.8655405405405405,0.8914616497829233,0.8324324324324325,0.8609364081062194,0.10135135135135136,665,75,124,616,42
0.65,0.8587837837837838,0.8980509745127436,0.8094594594594594,0.851457000710732,0.0918918918918919,672,68,141,599,42
0.7,0.8493243243243244,0.9045383411580594,0.7810810810810811,0.8382886149383612,0.08243243243243244,679,61,162,578,42
0.75,0.8445945945945946,0.9221854304635762,0.7527027027027027,0.8288690476190477,0.06351351351351352,693,47,183,557,42
0.8,0.8304054054054054,0.9312169312169312,0.7135135135135136,0.8079571537872992,0.052702702702702706,701,39,212,528,42
0.85,0.8121621621621622,0.9391634980988594,0.6675675675675675,0.7804107424960506,0.043243243243243246,708,32,246,494,42
0.9,0.7837837837837838,0.9468085106382979,0.6013513513513513,0.7355371900826446,0.033783783783783786,715,25,295,445,42
0.95,0.7290540540540541,0.959349593495935,0.4783783783783784,0.6384129846708747,0.02027027027027027,725,15,386,354,42
0.05,0.7641891891891892,0.6828811973807296,0.9864864864864865,0.8070757324488668,0.4581081081081081,401,339,10,730,43
0.1,0.8006756756756757,0.7227227227227228,0.9756756756756757,0.8303622771707878,0.37432432432432433,463,277,18,722,43
0.15,0.822972972972973,0.7526427061310782,0.9621621621621622,0.8446026097271648,0.3162162162162162,506,234,28,712,43
0.2,0.8317567567567568,0.7677208287895311,0.9513513513513514,0.8497284248642124,0.28783783783783784,527,213,36,704,43
0.25,0.8418918918918918,0.7868480725623582,0.9378378378378378,0.8557336621454994,0.25405405405405407,552,188,46,694,43
0.3,0.8540540540540541,0.8111638954869359,0.922972972972973,0.8634639696586599,0.21486486486486486,581,159,57,683,43
0.35,0.8608108108108108,0.8296296296296296,0.9081081081081082,0.8670967741935484,0.1864864864864865,602,138,68,672,43
0.4,0.8614864864864865,0.8398983481575604,0.8932432432432432,0.8657498362802881,0.17027027027027028,614,126,79,661,43
0.45,0.8648648648648649,0.8534031413612565,0.8810810810810811,0.8670212765957447,0.15135135135135136,628,112,88,652,43
0.5,0.8655405405405405,0.8670284938941656,0.8635135135135135,0.8652674339878131,0.13243243243243244,642,98,101,639,43
0.55,0.8648648648648649,0.8760445682451253,0.85,0.8628257887517147,0.12027027027027028,651,89,111,629,43
0.6,0.8675675675675676,0.8965014577259475,0.831081081081081,0.8625525946704067,0.09594594594594595,669,71,125,615,43
0.65,0.8628378378378379,0.9062027231467473,0.8094594594594594,0.8551034975017845,0.08378378378378379,678,62,141,599,43
0.7,0.8587837837837838,0.9154929577464789,0.7905405405405406,0.8484408992023206,0.07297297297297298,686,54,155,585,43
0.75,0.85,0.9218241042345277,0.7648648648648648,0.8360413589364845,0.06486486486486487,692,48,174,566,43
0.8,0.8344594594594594,0.9230769230769231,0.7297297297297297,0.8150943396226416,0.060810810810810814,695,45,200,540,43
0.85,0.8155405405405406,0.9364485981308411,0.677027027027027,0.7858823529411765,0.04594594594594595,706,34,239,501,43
0.9,0.7871621621621622,0.9511677282377919,0.6054054054054054,0.7398843930635838,0.031081081081081083,717,23,292,448,43
0.95,0.7391891891891892,0.9758064516129032,0.4905405405405405,0.6528776978417267,0.012162162162162163,731,9,377,363,43
0.05,0.7574324324324324,0.6755760368663595,0.9905405405405405,0.8032876712328767,0.4756756756756757,388,352,7,733,44
0.1,0.7993243243243243,0.7203980099502487,0.9783783783783784,0.8297994269340975,0.37972972972972974,459,281,16,724,44
0.15,0.825,0.7528916929547844,0.9675675675675676,0.846836191602602,0.31756756756756754,505,235,24,716,44
0.2,0.8418918918918918,0.7786343612334802,0.9554054054054054,0.8580097087378641,0.2716216216216216,539,201,33,707,44
0.25,0.8493243243243244,0.7954285714285714,0.9405405405405406,0.8619195046439628,0.2418918918918919,561,179,44,696,44
0.3,0.8608108108108108,0.8171021377672208,0.9297297297297298,0.8697850821744627,0.20810810810810812,586,154,52,688,44
0.35,0.8662162162162163,0.829683698296837,0.9216216216216216,0.8732394366197183,0.1891891891891892,600,140,58,682,44
0.4,0.8662162162162163,0.83875,0.9067567567567567,0.8714285714285714,0.17432432432432432,611,129,69,671,44
0.45,0.8675675675675676,0.8496143958868895,0.8932432432432432,0.8708827404479579,0.1581081081081081,623,117,79,661,44
0.5,0.8668918918918919,0.8615179760319573,0.8743243243243243,0.8678739101274312,0.14054054054054055,636,104,93,647,44
0.55,0.8635135135135135,0.8684931506849315,0.8567567567567568,0.8625850340136054,0.12972972972972974,644,96,106,634,44
0.6,0.8635135135135135,0.8821022727272727,0.8391891891891892,0.8601108033240997,0.11216216216216217,657,83,119,621,44
0.65,0.8648648648648649,0.8982300884955752,0.822972972972973,0.8589562764456982,0.09324324324324325,671,69,131,609,44
0.7,0.856081081081081,0.9010654490106544,0.8,0.8475304223335719,0.08783783783783784,675,65,148,592,44
0.75,0.8493243243243244,0.9109697933227345,0.7743243243243243,0.8371073776479182,0.07567567567567568,684,56,167,573,44
0.8,0.8351351351351352,0.918918918918919,0.7351351351351352,0.8168168168168168,0.06486486486486487,692,48,196,544,44
0.85,0.8195945945945946,0.930783242258652,0.6905405405405406,0.7928626842513576,0.051351351351351354,702,38,229,511,44
0.9,0.7986486486486486,0.942,0.6364864864864865,0.7596774193548387,0.03918918918918919,711,29,269,471,44
0.95,0.7398648648648649,0.9562982005141388,0.5027027027027027,0.6589902568644819,0.022972972972972974,723,17,368,372,44
0.05,0.7641891891891892,0.6860133206470028,0.9743243243243244,0.8051367950865438,0.44594594594594594,410,330,19,721,45
0.1,0.8135135135135135,0.7416666666666667,0.9621621621621622,0.8376470588235294,0.33513513513513515,492,248,28,712,45
0.15,0.8425675675675676,0.782608695652174,0.9486486486486486,0.8576664630421503,0.2635135135135135,545,195,38,702,45
0.2,0.852027027027027,0.8032596041909197,0.9324324324324325,0.8630393996247655,0.22837837837837838,571,169,50,690,45
0.25,0.8594594594594595,0.8197115384615384,0.9216216216216216,0.8676844783715013,0.20270270270270271,590,150,58,682,45
0.3,0.8689189189189189,0.8387096774193549,0.9135135135135135,0.8745148771021992,0.17567567567567569,610,130,64,676,45
0.35,0.8770270270270271,0.86328125,0.8959459459459459,0.8793103448275862,0.14189189189189189,635,105,77,663,45
0.4,0.8743243243243243,0.8664021164021164,0.8851351351351351,0.8756684491978609,0.13648648648648648,639,101,85,655,45
0.45,0.8716216216216216,0.8706199460916442,0.8729729729729729,0.8717948717948718,0.12972972972972974,644,96,94,646,45
0.5,0.8689189189189189,0.885593220338983,0.8472972972972973,0.8660220994475138,0.10945945945945947,659,81,113,627,45
0.55,0.8675675675675676,0.8930635838150289,0.8351351351351352,0.8631284916201117,0.1,666,74,122,618,45
0.6,0.8662162162162163,0.900887573964497,0.822972972972973,0.8601694915254238,0.09054054054054055,673,67,131,609,45
0.65,0.856081081081081,0.9060092449922958,0.7945945945945946,0.8466522678185745,0.08243243243243244,679,61,152,588,45
0.7,0.8527027027027027,0.9169329073482428,0.7756756756756756,0.8404099560761347,0.07027027027027027,688,52,166,574,45
0.75,0.8493243243243244,0.932998324958124,0.7527027027027027,0.8332086761406133,0.05405405405405406,700,40,183,557,45
0.8,0.8364864864864865,0.9399293286219081,0.7189189189189189,0.8147013782542113,0.04594594594594595,706,34,208,532,45
0.85,0.8189189189189189,0.9452830188679245,0.677027027027027,0.7889763779527559,0.03918918918918919,711,29,239,501,45
0.9,0.7864864864864864,0.951063829787234,0.6040540540540541,0.7388429752066116,0.031081081081081083,717,23,293,447,45
0.95,0.7371621621621621,0.9655172413793104,0.4918918918918919,0.6517457475380484,0.01756756756756757,727,13,376,364,45
0.05,0.75,0.668488160291439,0.9918918918918919,0.7986942328618063,0.4918918918918919,376,364,6,734,46
0.1,0.8013513513513514,0.7238955823293173,0.9743243243243244,0.8306451612903226,0.3716216216216216,465,275,19,721,46
0.15,0.8344594594594594,0.7652733118971061,0.9648648648648649,0.8535564853556485,0.2959459459459459,521,219,26,714,46
0.2,0.8466216216216216,0.7878787878787878,0.9486486486486486,0.8608215818516247,0.2554054054054054,551,189,38,702,46
0.25,0.8621621621621621,0.8130841121495327,0.9405405405405406,0.8721804511278195,0.21621621621621623,580,160,44,696,46
0.3,0.8682432432432432,0.8271308523409364,0.9310810810810811,0.8760330578512396,0.1945945945945946,596,144,51,689,46
0.35,0.870945945945946,0.8351648351648352,0.9243243243243243,0.8774855676715844,0.18243243243243243,605,135,56,684,46
0.4,0.8756756756756757,0.8466334164588528,0.9175675675675675,0.880674448767834,0.1662162162162162,617,123,61,679,46
0.45,0.8756756756756757,0.8554987212276215,0.904054054054054,0.8791064388961892,0.1527027027027027,627,113,71,669,46
0.5,0.8777027027027027,0.8682476943346509,0.8905405405405405,0.8792528352234823,0.13513513513513514,640,100,81,659,46
0.55,0.8797297297297297,0.8787061994609164,0.8810810810810811,0.8798920377867746,0.12162162162162163,650,90,88,652,46
