,accuracy,accuracy,precision,precision,recall,recall,f1,f1,fpr,fpr
,mean,std,mean,std,mean,std,mean,std,mean,std
threshold,,,,,,,,,,
0.05,0.762,0.009,0.6815,0.0099,0.9846,0.0074,0.8054,0.0052,0.4605,0.024
0.1,0.8066,0.0086,0.7306,0.0115,0.9719,0.0064,0.8341,0.0055,0.3586,0.0229
0.15,0.8322,0.0081,0.7651,0.0129,0.9592,0.0081,0.8511,0.0053,0.2949,0.0232
0.2,0.8431,0.0075,0.7847,0.0131,0.9462,0.0089,0.8578,0.005,0.26,0.022
0.25,0.8536,0.0082,0.8045,0.0133,0.9349,0.0079,0.8647,0.0062,0.2276,0.0205
0.3,0.8627,0.0061,0.8234,0.0105,0.9238,0.0071,0.8706,0.0049,0.1984,0.015
0.35,0.8678,0.0063,0.8385,0.0141,0.9116,0.0115,0.8734,0.0051,0.1759,0.0194
0.4,0.8695,0.0058,0.8487,0.0112,0.8995,0.0127,0.8733,0.0055,0.1605,0.0152
0.45,0.8699,0.0041,0.8579,0.0081,0.8868,0.0121,0.872,0.0044,0.147,0.011
0.5,0.8693,0.0048,0.8706,0.009,0.8678,0.0159,0.8691,0.0058,0.1292,0.0119
0.55,0.8695,0.0065,0.8809,0.0098,0.8546,0.0168,0.8674,0.0074,0.1157,0.012
0.6,0.8688,0.007,0.8921,0.0071,0.8392,0.0183,0.8647,0.0085,0.1016,0.0088
0.65,0.8639,0.0081,0.9014,0.0043,0.8173,0.0209,0.8572,0.0103,0.0895,0.006
0.7,0.8588,0.0108,0.9102,0.007,0.7962,0.023,0.8492,0.0132,0.0786,0.0071
0.75,0.8527,0.0101,0.9222,0.0078,0.7705,0.0229,0.8394,0.0129,0.0651,0.0078
0.8,0.8405,0.0145,0.93,0.009,0.7365,0.0285,0.8218,0.0185,0.0554,0.0075
0.85,0.8235,0.0158,0.9397,0.0065,0.6914,0.0309,0.7963,0.0213,0.0443,0.0046
0.9,0.7949,0.0143,0.9493,0.0051,0.623,0.0287,0.752,0.0212,0.0332,0.0035
0.95,0.7419,0.0132,0.9634,0.0077,0.503,0.0284,0.6605,0.0236,0.0192,0.0045
